camada,basename,titulo,tipo,pasta,prioridade,profundidade,fontes_previstas,links_candidatos,status,caminho_origem,tamanho_bytes,sha256,grupo_duplicata,observacoes
fonte_recebida,Conversa do WhatsApp com +55 64 8438-8531.txt,Conversa do WhatsApp com +55 64 8438-8531,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com +55 64 8438-8531.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com +55 64 8438-8531.txt,2087,f1ccebb14f127ffaddc4ffd217b4cc652473c8dd29d96ac0d5b889c9228f4e23,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com +55 64 9221-7305.txt,Conversa do WhatsApp com +55 64 9221-7305,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com +55 64 9221-7305.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com +55 64 9221-7305.txt,436,ed56d96cafa092a9a51b417509e8bf59714ee068184e128814e0bdcabd587ae9,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com +55 64 9247-0988.txt,Conversa do WhatsApp com +55 64 9247-0988,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com +55 64 9247-0988.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com +55 64 9247-0988.txt,557802,e08585b98d7124d5ffec07de28d003088a7f4a4a12474c65097edee49a2a2004,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com ACIRV + VCOM.txt,Conversa do WhatsApp com ACIRV + VCOM,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com ACIRV + VCOM.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com ACIRV + VCOM.txt,107652,d6737556858ec8a4f0b943cbc76945b61040c7ba778b7f8c26767ece933f4cf5,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com ACIRV - Comercial.txt,Conversa do WhatsApp com ACIRV - Comercial,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com ACIRV - Comercial.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com ACIRV - Comercial.txt,8750,7bac24ec3a055855b8b81a7e9360d0bbef1c8194cc7679bf79f62f17c071b846,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com ACIRV mulher .txt,Conversa do WhatsApp com ACIRV mulher ,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com ACIRV mulher .txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com ACIRV mulher .txt,346808,f18a55136e047276897203eceb7f3882306627793ba3c00516f54c5c741f3646,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com ACIRV.txt,Conversa do WhatsApp com ACIRV,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com ACIRV.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com ACIRV.txt,14328,5c012f7d3e9f1c8d2cb7bec169dac1f5e2df5ed3516f3b5cebaa0f20a14cda17,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com Acirv Indústria PAM.txt,Conversa do WhatsApp com Acirv Indústria PAM,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com Acirv Indústria PAM.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com Acirv Indústria PAM.txt,324,d790407f8866b1631f67707f5786c8218cb2d19a51ef8ff8f66a3ab9c1015e10,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com CMO Club RVD.txt,Conversa do WhatsApp com CMO Club RVD,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com CMO Club RVD.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com CMO Club RVD.txt,468131,c52a7c7801717d863d5769fd9591249e50d33442d7d16c887214a32d3038345d,,preservado no ZIP original; não importado em massa
fonte_recebida,Conversa do WhatsApp com COBERTURA SUDOEXPO.txt,Conversa do WhatsApp com COBERTURA SUDOEXPO,txt,Conversas Zap,media,fonte_bruta,Conversas Zap/Conversa do WhatsApp com COBERTURA SUDOEXPO.txt,,inspecionado,Conversas Zap/Conversa do WhatsApp com COBERTURA SUDOEXPO.txt,5746,6013b33113aabe77ed8abf8fc5bf3b5c505aa4c911d6e0a98e1af0ecfd068438,,preservado no ZIP original; não importado em massa
